id,name,price_currency,price_amount,in_stock,stock_text,product_url,source_page,source_rank,extracted_at
"P0001","A Light in the Attic","GBP",51.77,true,"In stock","https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html",1,1,"2026-04-20T21:17:21.960Z"
"P0002","Tipping the Velvet","GBP",53.74,true,"In stock","https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html",1,2,"2026-04-20T21:17:21.960Z"
"P0003","Soumission","GBP",50.1,true,"In stock","https://books.toscrape.com/catalogue/soumission_998/index.html",1,3,"2026-04-20T21:17:21.960Z"
"P0004","Sharp Objects","GBP",47.82,true,"In stock","https://books.toscrape.com/catalogue/sharp-objects_997/index.html",1,4,"2026-04-20T21:17:21.960Z"
"P0005","Sapiens: A Brief History of Humankind","GBP",54.23,true,"In stock","https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html",1,5,"2026-04-20T21:17:21.960Z"
"P0006","The Requiem Red","GBP",22.65,true,"In stock","https://books.toscrape.com/catalogue/the-requiem-red_995/index.html",1,6,"2026-04-20T21:17:21.960Z"
"P0007","The Dirty Little Secrets of Getting Your Dream Job","GBP",33.34,true,"In stock","https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html",1,7,"2026-04-20T21:17:21.960Z"
"P0008","The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","GBP",17.93,true,"In stock","https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html",1,8,"2026-04-20T21:17:21.960Z"
"P0009","The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","GBP",22.6,true,"In stock","https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html",1,9,"2026-04-20T21:17:21.960Z"
"P0010","The Black Maria","GBP",52.15,true,"In stock","https://books.toscrape.com/catalogue/the-black-maria_991/index.html",1,10,"2026-04-20T21:17:21.960Z"
"P0011","Starving Hearts (Triangular Trade Trilogy, #1)","GBP",13.99,true,"In stock","https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html",1,11,"2026-04-20T21:17:21.960Z"
"P0012","Shakespeare's Sonnets","GBP",20.66,true,"In stock","https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html",1,12,"2026-04-20T21:17:21.960Z"
"P0013","Set Me Free","GBP",17.46,true,"In stock","https://books.toscrape.com/catalogue/set-me-free_988/index.html",1,13,"2026-04-20T21:17:21.960Z"
"P0014","Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)","GBP",52.29,true,"In stock","https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html",1,14,"2026-04-20T21:17:21.960Z"
"P0015","Rip it Up and Start Again","GBP",35.02,true,"In stock","https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html",1,15,"2026-04-20T21:17:21.960Z"
"P0016","Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","GBP",57.25,true,"In stock","https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html",1,16,"2026-04-20T21:17:21.960Z"
"P0017","Olio","GBP",23.88,true,"In stock","https://books.toscrape.com/catalogue/olio_984/index.html",1,17,"2026-04-20T21:17:21.960Z"
"P0018","Mesaerion: The Best Science Fiction Stories 1800-1849","GBP",37.59,true,"In stock","https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html",1,18,"2026-04-20T21:17:21.960Z"
"P0019","Libertarianism for Beginners","GBP",51.33,true,"In stock","https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html",1,19,"2026-04-20T21:17:21.960Z"
"P0020","It's Only the Himalayas","GBP",45.17,true,"In stock","https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html",1,20,"2026-04-20T21:17:21.960Z"
"P0021","In Her Wake","GBP",12.84,true,"In stock","https://books.toscrape.com/catalogue/in-her-wake_980/index.html",2,1,"2026-04-20T21:17:23.125Z"
"P0022","How Music Works","GBP",37.32,true,"In stock","https://books.toscrape.com/catalogue/how-music-works_979/index.html",2,2,"2026-04-20T21:17:23.125Z"
"P0023","Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","GBP",30.52,true,"In stock","https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html",2,3,"2026-04-20T21:17:23.125Z"
"P0024","Chase Me (Paris Nights #2)","GBP",25.27,true,"In stock","https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html",2,4,"2026-04-20T21:17:23.125Z"
"P0025","Black Dust","GBP",34.53,true,"In stock","https://books.toscrape.com/catalogue/black-dust_976/index.html",2,5,"2026-04-20T21:17:23.125Z"
"P0026","Birdsong: A Story in Pictures","GBP",54.64,true,"In stock","https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html",2,6,"2026-04-20T21:17:23.125Z"
"P0027","America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana","GBP",22.5,true,"In stock","https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html",2,7,"2026-04-20T21:17:23.125Z"
"P0028","Aladdin and His Wonderful Lamp","GBP",53.13,true,"In stock","https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html",2,8,"2026-04-20T21:17:23.125Z"
"P0029","Worlds Elsewhere: Journeys Around Shakespeare’s Globe","GBP",40.3,true,"In stock","https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html",2,9,"2026-04-20T21:17:23.125Z"
"P0030","Wall and Piece","GBP",44.18,true,"In stock","https://books.toscrape.com/catalogue/wall-and-piece_971/index.html",2,10,"2026-04-20T21:17:23.125Z"
"P0031","The Four Agreements: A Practical Guide to Personal Freedom","GBP",17.66,true,"In stock","https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html",2,11,"2026-04-20T21:17:23.125Z"
"P0032","The Five Love Languages: How to Express Heartfelt Commitment to Your Mate","GBP",31.05,true,"In stock","https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html",2,12,"2026-04-20T21:17:23.125Z"
"P0033","The Elephant Tree","GBP",23.82,true,"In stock","https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html",2,13,"2026-04-20T21:17:23.125Z"
"P0034","The Bear and the Piano","GBP",36.89,true,"In stock","https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html",2,14,"2026-04-20T21:17:23.125Z"
"P0035","Sophie's World","GBP",15.94,true,"In stock","https://books.toscrape.com/catalogue/sophies-world_966/index.html",2,15,"2026-04-20T21:17:23.125Z"
"P0036","Penny Maybe","GBP",33.29,true,"In stock","https://books.toscrape.com/catalogue/penny-maybe_965/index.html",2,16,"2026-04-20T21:17:23.125Z"
"P0037","Maude (1883-1993):She Grew Up with the country","GBP",18.02,true,"In stock","https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html",2,17,"2026-04-20T21:17:23.125Z"
"P0038","In a Dark, Dark Wood","GBP",19.63,true,"In stock","https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html",2,18,"2026-04-20T21:17:23.125Z"
"P0039","Behind Closed Doors","GBP",52.22,true,"In stock","https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html",2,19,"2026-04-20T21:17:23.125Z"
"P0040","You can't bury them all: Poems","GBP",33.63,true,"In stock","https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html",2,20,"2026-04-20T21:17:23.125Z"
"P0041","Slow States of Collapse: Poems","GBP",57.31,true,"In stock","https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html",3,1,"2026-04-20T21:17:24.299Z"
"P0042","Reasons to Stay Alive","GBP",26.41,true,"In stock","https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html",3,2,"2026-04-20T21:17:24.299Z"
"P0043","Private Paris (Private #10)","GBP",47.61,true,"In stock","https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html",3,3,"2026-04-20T21:17:24.299Z"
"P0044","#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.","GBP",23.11,true,"In stock","https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html",3,4,"2026-04-20T21:17:24.299Z"
"P0045","Without Borders (Wanderlove #1)","GBP",45.07,true,"In stock","https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html",3,5,"2026-04-20T21:17:24.299Z"
"P0046","When We Collided","GBP",31.77,true,"In stock","https://books.toscrape.com/catalogue/when-we-collided_955/index.html",3,6,"2026-04-20T21:17:24.299Z"
"P0047","We Love You, Charlie Freeman","GBP",50.27,true,"In stock","https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html",3,7,"2026-04-20T21:17:24.299Z"
"P0048","Untitled Collection: Sabbath Poems 2014","GBP",14.27,true,"In stock","https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html",3,8,"2026-04-20T21:17:24.299Z"
"P0049","Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness","GBP",44.18,true,"In stock","https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html",3,9,"2026-04-20T21:17:24.299Z"
"P0050","Unicorn Tracks","GBP",18.78,true,"In stock","https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html",3,10,"2026-04-20T21:17:24.299Z"
"P0051","Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink","GBP",25.52,true,"In stock","https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html",3,11,"2026-04-20T21:17:24.299Z"
"P0052","Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)","GBP",16.28,true,"In stock","https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html",3,12,"2026-04-20T21:17:24.299Z"
"P0053","Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity","GBP",31.12,true,"In stock","https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html",3,13,"2026-04-20T21:17:24.299Z"
"P0054","This One Summer","GBP",19.49,true,"In stock","https://books.toscrape.com/catalogue/this-one-summer_947/index.html",3,14,"2026-04-20T21:17:24.299Z"
"P0055","Thirst","GBP",17.27,true,"In stock","https://books.toscrape.com/catalogue/thirst_946/index.html",3,15,"2026-04-20T21:17:24.299Z"
"P0056","The Torch Is Passed: A Harding Family Story","GBP",19.09,true,"In stock","https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html",3,16,"2026-04-20T21:17:24.299Z"
"P0057","The Secret of Dreadwillow Carse","GBP",56.13,true,"In stock","https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html",3,17,"2026-04-20T21:17:24.299Z"
"P0058","The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!","GBP",56.41,true,"In stock","https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html",3,18,"2026-04-20T21:17:24.299Z"
"P0059","The Past Never Ends","GBP",56.5,true,"In stock","https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html",3,19,"2026-04-20T21:17:24.299Z"
"P0060","The Natural History of Us (The Fine Art of Pretending #2)","GBP",45.22,true,"In stock","https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html",3,20,"2026-04-20T21:17:24.299Z"